Invoice,OrderValue,ItemsPerOrder
489434,505.3,8
489435,145.79999999999998,4
489436,630.33,19
489437,310.75,23
489438,2286.24,17
489439,426.3,19
489440,50.4,2
489441,344.34000000000003,4
489442,382.37,23
489443,285.06,7
489444,141.0,1
489445,308.44,19
489446,996.1,27
489447,130.0,1
489448,570.24,4
489450,196.10000000000002,9
489460,485.79,15
489461,589.33,26
489462,148.3,13
489465,1197.8000000000002,19
489488,251.1,30
489505,255.5,10
489514,823.02,32
489517,282.46000000000004,38
489519,696.73,38
489520,733.63,30
489522,700.31,104
489523,1160.0,1
489526,929.92,44
489529,229.46,50
489531,145.0,14
489532,304.53000000000003,20
489533,192.75,22
489536,367.40999999999997,130
489537,633.33,59
489539,2887.14,17
489540,537.96,5
489542,387.6,2
489544,281.82,14
489545,124.95,32
489546,584.5,33
489547,641.45,22
489550,482.3,23
489552,278.61,25
489556,379.65,59
489557,603.94,21
489558,291.58000000000004,4
489559,128.60000000000002,8
489560,859.0999999999999,30
489561,246.86,27
489562,229.6,39
489564,322.9,14
489566,218.54999999999998,8
489567,307.8,20
489569,282.28,18
489571,156.71,30
489572,507.49,83
489573,580.02,32
489574,551.33,65
489575,367.28000000000003,22
489576,319.66,17
489579,219.82,34
489580,261.0,8
489581,124.83000000000001,10
489582,293.95,9
489584,21.95,1
489585,105.85,4
489586,263.42,6
489590,362.78000000000003,27
489593,423.87,30
489594,322.33,51
489598,822.37,50
489599,2454.68,79
489606,2.1,1
489611,2.95,1
489613,12.75,1
489617,198.0,16
489634,17.4,1
489635,352.85,21
489637,535.9,20
489639,31.200000000000003,1
489640,329.90999999999997,27
489641,622.1,30
489644,896.5400000000001,26
489645,261.74,32
489650,173.1,7
489652,294.14,17
489654,222.12,30
489656,1237.3,22
489657,55.2,3
489658,828.09,21
489661,23.48,4
489662,73.75,1
489664,374.43,11
489665,252.3,10
489666,263.09000000000003,15
489667,538.46,10
489668,378.12,8
489669,397.20000000000005,3
489670,114.60000000000001,2
489671,740.3,8
489672,772.65,32
489673,61.099999999999994,4
489674,261.3,17
489675,4939.22,22
489676,1210.8,5
489677,192.0,2
489678,189.29999999999998,20
489679,795.98,42
489680,45.0,1
489681,89.59,11
489682,125.73,4
489683,1317.97,46
489684,266.6,9
489687,221.53,12
489688,299.70000000000005,3
489695,306.95,15
489699,401.7,25
489702,3108.64,30
489705,17.0,1
489723,2052.12,26
489725,216.0,1
489726,750.0,1
489727,900.0,1
489728,180.45,10
489733,168.0,2
489743,538.77,33
489748,754.2,3
489764,223.1,14
489765,285.59,41
489766,130.18,46
489780,159.98000000000002,8
489782,230.46,22
489783,162.04,7
489784,40.8,4
489785,333.67,20
489786,216.86,44
489787,319.54,74
489788,119.16,17
489789,80.4,5
489790,131.12,2
489791,221.19,65
489792,923.79,58
489793,260.36,16
489794,58.2,4
489795,935.01,13
489796,311.5,19
489797,200.63,26
489798,311.69,20
489800,408.07,32
489801,128.48000000000002,6
489802,174.52,45
489804,251.17000000000002,16
489805,454.35,46
489807,180.13,28
489808,109.84,17
489809,112.5,6
489810,493.25,26
489811,634.29,9
489812,597.6899999999999,25
489814,824.1800000000001,89
489815,132.55,9
489816,284.55,27
489817,340.2,3
489818,294.3,14
489819,618.4300000000001,13
489822,371.27000000000004,54
489823,87.30000000000001,6
489824,176.88,44
489825,174.1,11
489826,85.95,10
489827,445.7,23
489829,472.47,8
489830,637.04,69
489831,1008.0,1
489832,316.22,55
489833,150.68,24
489834,214.79999999999998,1
489835,714.0,2
489837,514.97,47
489840,89.69999999999999,1
489855,157.91,29
489862,734.7,4
489863,66.82,18
489864,206.85,3
489865,234.87,18
489866,1003.83,120
489868,675.0,14
489869,39.980000000000004,17
489870,162.1,3
489871,735.7,5
489872,632.9,22
489873,10.2,1
489874,176.6,12
489875,530.76,95
489876,39.85,18
489877,368.1,4
489878,143.11,38
489879,163.47,44
489880,380.28000000000003,22
489883,578.28,27
489884,3.61,1
489888,597.4,26
489889,4734.24,20
489890,976.8,3
489891,181.08,6
489893,300.1,9
489894,520.2,27
489895,371.82,22
489896,337.93,20
489897,260.44,13
489900,287.37,19
489902,119.10000000000001,4
489904,203.78,13
489905,478.7,19
489906,120.0,4
489907,202.06,11
489908,107.33,6
489909,642.2,16
489910,144.0,1
489912,1146.1000000000001,58
489913,69.6,3
489914,993.0,29
489915,54.599999999999994,2
489916,336.0,9
489932,82.6,6
489935,181.65,2
489994,430.9,4
489996,320.40000000000003,5
489998,321.65,18
489999,154.2,7
490000,143.06,12
490001,169.5,2
490002,114.55,28
490003,317.55,12
490004,912.5600000000001,9
490005,556.75,25
490006,344.40000000000003,19
490008,503.93,64
490009,285.09,31
490010,1008.0,1
490011,221.69,43
490012,763.35,27
490013,500.55,33
490014,744.21,93
490017,393.65,99
490018,4380.0,4
490019,308.6,15
490020,37.8,3
490021,10.2,1
490022,45.60000000000001,3
490023,189.15,4
490024,215.0,49
490034,69.82,11
490045,180.39,22
490046,228.3,7
490047,263.85,28
490048,1146.71,35
490049,102.0,1
490050,13.5,1
490052,831.0,42
490053,119.54,17
490054,277.5,7
490056,61.12,16
490057,360.52,20
490058,47.85,2
490059,14475.0,9
490060,314.22,17
490061,4000.0,4
490062,165.3,8
490063,210.39,52
490064,355.59000000000003,19
490065,1260.0,1
490066,372.2,7
490067,952.61,24
490068,284.3,9
490069,161.39999999999998,5
490070,236.25,5
490071,294.85,19
490072,194.65,30
490073,258.1,13
490075,381.0,4
490077,115.50999999999999,6
490078,584.35,29
490079,160.35,10
490080,311.7,15
490081,723.09,20
490082,337.9,7
490083,2506.14,61
490085,170.06,15
490086,799.2,1
490087,898.1800000000001,51
490088,17.0,2
490089,466.20000000000005,1
490090,45.55,17
490091,636.0,1
490092,510.87,23
490093,1794.7,64
490094,851.76,1
490095,186.36,12
490097,279.42,36
490099,1225.98,74
490100,869.9300000000001,83
490101,338.5,11
490106,314.37,20
490107,110.69999999999999,8
490108,239.68,5
490109,415.0,20
490110,30.15,2
490111,321.21000000000004,31
490112,313.19,20
490113,39.2,11
490114,257.62,22
490115,342.6,12
490116,122.39999999999999,4
490118,317.04,47
490119,108.75,1
490121,112.03,32
490124,319.87,44
490125,297.05,9
490127,569.1800000000001,33
490128,241.8,14
490132,197.3,12
490134,151.65,25
490135,387.87,18
490136,174.85,41
490137,160.69,21
490138,339.78,14
490139,210.55,13
490140,407.22,43
490141,308.75,18
490142,1261.0,14
490143,1610.52,76
490144,337.1,18
490145,989.18,39
490147,510.64,8
490151,160.39,14
490152,682.65,29
490154,290.48,49
490156,455.36,6
490157,138.0,1
490158,508.26,22
490159,19.5,2
490160,244.79999999999998,1
490161,825.94,59
490162,280.2,26
490163,141.63,17
490164,1058.4,41
490166,371.85,12
490167,312.21,8
490171,29.28,5
490202,410.0,20
490209,908.0400000000001,5
490212,108.95,12
490214,319.15,20
490218,67.67999999999999,3
490219,155.65,7
490229,1185.16,34
490247,351.3,11
490258,20.4,1
490266,231.2,8
490272,521.38,59
490277,1077.6,10
490279,317.83,83
490281,311.2,16
490282,107.95,7
490284,439.46,53
490285,373.74,7
490286,762.1,53
490287,367.1,14
490288,332.16,3
490289,273.75,20
490290,164.03,10
490291,424.03,38
490292,460.55,62
490293,137.4,14
490294,378.96,61
490295,435.88,17
490297,694.2,14
490298,1523.2,40
490299,621.22,44
490300,260.64,95
490301,345.27,9
490302,303.62,69
490303,106.25,7
490304,843.01,46
490305,726.57,33
490308,194.53,16
490310,231.90000000000003,4
490311,307.65000000000003,22
490312,326.13,61
490313,137.95,6
490320,867.89,9
490323,236.69,65
490324,672.0,2
490326,149.10000000000002,10
490327,990.0,2
490331,298.99,59
490340,630.39,47
490341,334.65,19
490342,130.8,4
490346,216.6,16
490347,109.4,8
490349,32.25,3
490353,532.28,44
490355,538.1099999999999,4
490356,117.13000000000001,9
490359,59.5,1
490360,126.8,21
490362,220.9,37
490363,138.24,1
490364,103.95,6
490365,351.6,5
490366,227.25,14
490367,79.6,2
490368,159.1,2
490369,230.2,4
490370,452.95,26
490371,233.70999999999998,14
490372,434.15,15
490373,502.54,18
490374,136.75,9
490375,350.55,20
490376,796.5500000000001,24
490377,15.0,1
490378,224.1,15
490380,478.74,18
490381,97.11,7
490382,760.69,32
490383,148.3,4
490385,130.32,5
490386,549.77,33
490387,450.84000000000003,18
490388,146.62,9
490389,689.5,33
490390,256.2,8
490391,304.1,11
490392,203.32,9
490393,281.02,19
490394,870.2800000000001,18
490395,283.15,13
490396,269.15,15
490397,309.1,18
490398,567.71,29
490399,441.63,23
490400,689.9,49
490401,139.25,13
490403,316.74,94
490404,188.69,23
490405,260.65,21
490408,413.44,15
490430,253.55,13
490458,817.4399999999999,23
490459,950.69,54
490461,720.79,116
490463,305.5,8
490464,118.25999999999999,16
490465,933.35,69
490466,183.6,24
490467,280.94,44
490468,204.24,12
490470,242.96,49
490471,212.13,29
490472,619.24,30
490473,204.65,25
490474,748.42,35
490476,211.62,3
490477,533.14,18
490478,302.5,42
490479,1450.2,35
490481,21.25,2
490482,289.3,27
490483,132.4,10
490484,186.6,4
490485,125.94,17
490486,90.0,1
490487,81.3,11
490488,647.82,33
490489,266.19,24
490490,547.73,86
490491,175.20000000000002,6
490493,12.75,1
490494,192.26999999999998,55
490496,671.56,52
490499,406.70000000000005,21
490500,355.13,33
490501,285.64,32
490502,101.4,19
490503,582.12,40
490504,391.92,25
490505,98.16,16
490506,25.46,11
490508,450.84000000000003,18
490511,626.6,18
490512,235.13,51
490514,137.75,24
490515,147.4,9
490516,504.54,18
490518,474.32,16
490519,213.65,13
490521,235.84,15
490522,150.4,8
490524,436.18,24
490525,255.00000000000003,11
490526,533.97,28
490527,182.01,10
490528,118.25,26
490529,48.89,14
490530,161.8,5
490531,166.95,15
490533,378.05,45
490534,263.68,48
490535,560.58,18
490536,221.9,10
490537,209.41,16
490538,504.54,18
490539,346.0,13
490542,716.35,20
490545,34.0,1
490547,311.2,12
490548,504.54,18
490557,463.0,21
490561,41.300000000000004,1
490563,808.12,28
490564,367.9,11
490569,411.20000000000005,9
490577,187.19,14
490603,287.49,37
490604,682.4,8
490605,191.74,14
490606,426.0,15
490607,173.54999999999998,10
490608,163.77,31
490609,218.33,46
490610,211.62,15
490611,312.65,12
490612,610.95,41
490613,224.98,17
490616,214.79999999999998,6
490618,44.7,2
490625,362.6,7
490636,425.09000000000003,44
490637,452.15999999999997,11
490638,147.1,4
490640,321.00000000000006,8
490641,51.0,2
490642,446.4,24
490653,990.48,11
490657,208.82999999999998,27
490659,380.84000000000003,16
490665,76.5,3
490667,238.85,50
490668,312.33000000000004,6
490669,214.17000000000002,30
490670,143.70000000000002,11
490671,488.16,1
490672,660.96,2
490673,156.5,7
490674,242.1,14
490675,696.5400000000001,16
490676,451.44,17
490677,151.72,10
490678,380.65000000000003,12
490679,379.16,47
490680,293.35,21
490681,164.75,44
490682,285.9,5
490683,413.00000000000006,15
490684,74.56,4
490685,1066.82,90
490686,153.28,9
490687,924.95,40
490689,307.90999999999997,18
490690,207.9,3
490691,306.0,1
490692,195.78,20
490693,190.47,56
490694,1244.3200000000002,22
490695,108.4,16
490697,378.84000000000003,16
490703,154.2,8
490704,355.38,3
490705,204.0,2
490706,1088.63,42
490707,45.9,16
490708,241.05,13
490709,198.98000000000002,60
490710,332.70000000000005,5
490711,448.96,73
490712,331.40000000000003,20
490714,4.95,1
490717,449.95,43
490718,485.31,21
490719,668.1,76
490720,357.87,5
490722,386.39,25
490724,716.04,12
490725,343.44,4
490726,561.5999999999999,3
490727,285.35,40
490728,221.52,27
490733,412.6,7
490734,306.55,9
490737,389.62,15
490738,25.5,1
490747,8.92,2
490749,580.6400000000001,10
490750,312.96,3
490751,1429.83,17
490752,356.40000000000003,5
490753,322.65,22
490754,302.78000000000003,20
490755,338.34000000000003,11
490757,425.59000000000003,20
490759,182.88,1
490760,10.0,1
490761,255.04,16
490762,323.39,13
490763,1019.9999999999999,1
490764,306.45,10
490767,44.32,13
490769,221.0,3
490770,135.94,15
490782,707.93,28
490785,2590.7999999999997,2
490786,30.599999999999998,3
490789,192.54999999999998,9
490796,870.63,26
490797,155.7,8
490800,7.800000000000001,1
490801,660.0,2
490802,19.5,1
490803,207.32,6
490804,487.09000000000003,33
490805,215.0,12
490806,39.400000000000006,2
490808,134.04,25
490809,159.0,3
490810,259.92,3
490811,309.7,17
490817,1806.19,56
490823,304.8,10
490834,564.38,42
490836,2.9,1
490838,20.25,3
490846,129.3,10
490847,249.64,9
490851,311.8,10
490855,363.6,2
490863,88.05,13
490871,211.41,22
490881,10.0,1
490893,111.24000000000001,12
490899,792.84,47
490905,656.85,53
490917,312.9,12
490920,109.08,14
490921,42.300000000000004,2
490922,114.3,1
490924,123.1,26
490925,648.5,14
490926,250.02,36
490927,304.20000000000005,6
490928,404.44,49
490930,81.12,1
490932,12.4,1
490933,2452.56,8
490936,366.9,19
490937,2285.58,75
490938,215.3,33
490940,0.95,1
490941,644.52,61
490944,151.2,2
490945,97.55,15
490948,15.0,1
490953,966.6600000000001,57
490954,102.82,15
490956,2442.7200000000003,6
490957,3796.37,153
490958,328.8,6
490959,507.9,16
490961,194.75,10
490962,683.14,4
490964,104.15,51
490966,436.71,32
490968,484.0,8
490971,372.64,9
490972,728.0500000000001,23
490978,193.08,34
490981,313.45,15
490982,8.82,2
490984,303.45,9
490989,462.46,22
490990,271.85,69
490992,438.74,21
490998,379.13,14
490999,24.65,2
491006,272.5,18
491007,213.27,13
491008,191.89000000000001,7
491009,255.68,23
491010,318.0,16
491011,389.99,8
491014,549.09,27
491024,383.04,6
491025,325.44,1
491026,162.72,1
491033,328.02000000000004,8
491034,305.5,10
491035,295.35,18
491038,528.9,23
491039,301.0,5
491044,234.38,16
491045,303.2,6
491048,519.42,22
491049,748.9,15
491050,333.8,21
491051,408.51,24
491054,320.2,8
491055,219.55,9
491056,1007.74,11
491057,77.8,5
491058,307.95,13
491059,285.29999999999995,2
491060,392.40000000000003,2
491061,233.53000000000003,12
491062,124.0,3
491063,203.3,8
491064,185.9,50
491067,333.3,4
491068,700.4,51
491069,521.0500000000001,19
491070,383.8,9
491071,194.10000000000002,5
491072,15.45,5
491073,95.75999999999999,5
491074,23.6,1
491075,187.8,8
491077,433.05,67
491078,259.11,21
491079,588.85,17
491081,308.0,15
491082,1273.5,40
491083,322.98,41
491085,130.6,6
491086,267.26,32
491089,200.23999999999998,14
491090,351.45,12
491091,3249.32,42
491092,844.12,51
491093,1445.56,19
491094,216.0,1
491095,135.0,6
491096,175.95000000000002,9
491097,338.13,33
491098,179.78,23
491100,63.5,4
491101,298.68,39
491102,50.55,3
491103,163.26,9
491104,1552.9,7
491105,212.58,39
491109,143.36,22
491111,321.67,36
491112,174.33,6
491113,893.33,122
491116,301.57,13
491118,580.79,72
491122,601.6,21
491123,380.36,47
491124,327.38,17
491125,966.24,14
491126,389.34000000000003,21
491127,256.2,11
491129,50.699999999999996,2
491131,1.7,1
491132,171.6,7
491133,480.0,1
491136,343.52,13
491138,179.85,4
491143,476.03999999999996,2
491144,873.48,19
491145,135.0,7
491146,178.98000000000002,13
491147,34.3,8
491148,3882.66,26
491149,289.92,9
491150,435.6,6
491151,661.16,8
491152,436.8,6
491153,300.35,16
491154,289.85,14
491158,275.73,13
491159,291.0,4
491160,377.57,19
491161,109.35,3
491163,179.6,8
491164,33.55,14
491165,737.7,14
491169,8.5,1
491170,328.99,35
491171,203.85000000000002,21
491172,730.59,10
491173,248.49,27
491174,228.96,1
491175,347.54,9
491176,1213.02,1
491177,105.78000000000002,6
491178,390.44,37
491180,294.52000000000004,32
491181,592.2,8
491182,190.3,8
491183,945.58,57
491184,139.85000000000002,2
491185,421.17,33
491186,288.49,83
491187,97.5,5
491188,79.7,20
491189,31.200000000000003,1
491191,71.78999999999999,5
491192,509.3,35
491193,762.98,23
491194,302.70000000000005,11
491195,658.5,13
491196,165.5,2
491197,126.57,23
491198,95.55,6
491199,143.72,23
491200,165.0,1
491201,413.1,4
491203,580.15,10
491204,224.35999999999999,58
491205,1391.91,44
491207,105.75999999999999,12
491209,278.08,49
491210,785.62,40
491211,1766.28,37
491212,873.61,17
491226,448.2,15
491235,307.2,10
491238,170.45,12
491240,936.26,22
491247,436.40000000000003,12
491314,1505.4,6
491317,683.91,45
491318,369.6,2
491319,181.63,12
491320,178.2,2
491321,844.45,59
491340,517.7,56
491356,282.03000000000003,14
491358,99.60000000000001,13
491368,164.31,20
491385,328.7,5
491394,404.82,45
491395,204.26,23
491396,435.51,37
491397,155.79,27
491399,171.5,15
491400,427.52,22
491401,218.05,16
491403,616.53,46
491405,70.80000000000001,1
491406,792.02,140
491407,130.62,10
491408,133.75,7
491421,208.9,39
491422,864.8900000000001,33
