Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12347,2,8,5633.32,4,3,4,11,Champions
12348,75,5,2019.4,3,3,3,9,Loyal Customers
12349,19,5,4404.54,4,3,4,11,Champions
12350,310,1,334.4,2,1,1,4,Lost
12351,375,1,300.93,2,1,1,4,Lost
12352,36,13,1889.21,3,4,3,10,Champions
12353,204,2,406.76,2,1,2,5,Needs Attention
12354,232,1,1079.4,2,1,3,6,Needs Attention
12355,214,2,947.61,2,1,3,6,Needs Attention
12356,23,6,6373.68,4,3,4,11,Champions
12357,33,3,18287.66,3,2,4,9,Loyal Customers
12358,2,5,3887.07,4,3,4,11,Champions
12359,8,14,8714.89,4,4,4,12,Champions
12360,52,9,4212.89,3,4,4,11,Champions
12361,287,4,511.25,2,2,2,6,Needs Attention
12362,3,14,5284.58,4,4,4,12,Champions
12363,110,2,552.0,2,1,2,5,Needs Attention
12364,8,4,1313.1,4,2,3,9,Loyal Customers
12365,291,3,320.69,2,2,1,5,Needs Attention
12366,634,1,500.24,1,1,2,4,Lost
12367,4,1,168.9,4,1,1,6,Recent but Low Value
12368,628,1,917.6999999999999,1,1,3,5,Needs Attention
12369,413,3,1791.15,1,2,3,6,Needs Attention
12370,51,7,4320.31,3,3,4,10,Champions
12371,45,5,4067.38,3,3,4,10,Champions
12372,72,3,1298.04,3,2,3,8,Loyal Customers
12373,311,3,1127.65,2,2,3,7,Needs Attention
12374,25,4,2989.2200000000003,3,2,4,9,Loyal Customers
12375,3,3,455.42,4,2,2,8,Loyal Customers
12376,390,2,503.15,1,1,2,4,Lost
12377,315,4,3426.32,2,2,4,8,Loyal Customers
12378,130,2,5416.32,2,1,4,7,Needs Attention
12379,82,5,1618.27,3,3,3,9,Loyal Customers
12380,22,15,7888.0,4,4,4,12,Champions
12381,5,6,1803.96,4,3,3,10,Champions
12383,185,6,1839.31,2,3,3,8,Loyal Customers
12384,29,3,566.16,3,2,2,7,Recent but Low Value
12385,379,2,1923.4,1,1,3,5,Needs Attention
12386,338,2,660.8,2,1,2,5,Needs Attention
12387,415,1,143.94,1,1,1,3,Lost
12388,16,8,3901.11,4,3,4,11,Champions
12389,403,3,1433.33,1,2,3,6,Needs Attention
12390,80,1,549.84,3,1,2,6,Recent but Low Value
12391,22,7,2747.82,4,3,4,11,Champions
12392,591,1,234.75000000000003,1,1,1,3,Lost
12393,72,7,2376.75,3,3,4,10,Champions
12394,64,2,1272.48,3,1,3,7,Recent but Low Value
12395,16,18,5046.92,4,4,4,12,Champions
12396,674,1,931.43,1,1,3,5,Needs Attention
12397,36,2,2409.9,3,1,4,8,Loyal Customers
12398,46,1,1635.6599999999999,3,1,3,7,Recent but Low Value
12399,119,7,1962.3,2,3,3,8,Loyal Customers
12400,414,1,205.25,1,1,1,3,Lost
12401,303,1,84.3,2,1,1,4,Lost
12402,323,7,1244.15,2,3,3,8,Loyal Customers
12403,50,3,1001.36,3,2,3,8,Loyal Customers
12404,682,1,63.24,1,1,1,3,Lost
12405,149,1,1710.39,2,1,3,6,Needs Attention
12406,22,7,6072.21,4,3,4,11,Champions
12407,50,5,1708.1200000000001,3,3,3,9,Loyal Customers
12408,33,14,4279.64,3,4,4,11,Champions
12409,79,13,23090.47,3,4,4,11,Champions
12410,301,4,1001.46,2,2,3,7,Needs Attention
12411,410,1,346.9,1,1,2,4,Lost
12412,75,8,2581.03,3,3,4,10,Champions
12413,67,6,935.5,3,3,3,9,Loyal Customers
12414,217,8,692.41,2,3,2,7,At Risk (Was Valuable)
12415,24,33,143269.29,4,4,4,12,Champions
12416,657,1,202.56,1,1,1,3,Lost
12417,3,27,6708.21,4,4,4,12,Champions
12418,113,5,2016.95,2,3,3,8,Loyal Customers
12419,386,2,503.01,1,1,2,4,Lost
12420,64,1,600.39,3,1,2,6,Recent but Low Value
12421,16,8,1092.83,4,3,3,10,Champions
12422,96,21,4119.35,2,4,4,10,Champions
12423,1,11,2612.19,4,4,4,12,Champions
12424,163,7,3289.78,2,3,4,9,Loyal Customers
12425,78,3,1680.81,3,2,3,8,Loyal Customers
12426,195,3,1311.41,2,2,3,7,Needs Attention
12427,12,5,1011.87,4,3,3,10,Champions
12428,26,12,7877.2,3,4,4,11,Champions
12429,9,9,7435.51,4,4,4,12,Champions
12430,43,1,256.4,3,1,1,5,Recent but Low Value
12431,36,33,10719.41,3,4,4,11,Champions
12432,43,5,5059.32,3,3,4,10,Champions
12433,1,11,20428.86,4,4,4,12,Champions
12434,85,5,1062.48,3,3,3,9,Loyal Customers
